Cancer,Incidence,Mortality
"Lung","31.5","27.1",
"Prostate","29.3","7.6",
"Colorectum","23.6","10.8",
"Stomach","15.7","11.7",
"Liver","13.9","12.7",
"Bladder","9.6","3.2",
"Oesophagus","9.3","8.3",
"Non-Hodgkin lymphoma","6.7","3.3",
"Leukaemia","6.1","4.2",
"Kidney","6.0","2.6",
